Tache,Statut,Competence Bloc 2,Categorie,Priorite,Date de debut,Date d'echeance,Livrable,Notes
"Definir le MVP et repartir les roles de l'equipe","A faire","CP7","Gestion de projet","Haute","2026-04-07","2026-04-07","Perimetre fonctionnel clair","Decider qui gere le front, le back, la base de donnees, les diagrammes et le dossier"
"Creer une branche Git par membre","A faire","CP1","Gestion de projet","Haute","2026-04-07","2026-04-08","Organisation Git","Montrer les branches, commits et merges pendant la presentation"
"Mettre en place le Kanban Notion et la vue calendrier","A faire","CP8","Gestion de projet","Haute","2026-04-07","2026-04-07","Tableau de suivi","Mettre a jour l'avancement chaque jour"
"Nettoyer la structure du projet Flask","A faire","CP1","Back-end","Haute","2026-04-07","2026-04-08","Arborescence claire","Prevoir templates, static, tests, docs et configuration"
"Ajouter .env.example et les variables d'environnement","A faire","CP1","Back-end","Haute","2026-04-07","2026-04-08","Configuration environnement","Ajouter SECRET_KEY, DATABASE_URL et variables de session"
"Ajouter requirements-dev.txt","A faire","CP1","Qualite","Haute","2026-04-07","2026-04-08","Dependances de developpement","Inclure pytest, black, flake8 et pre-commit"
"Configurer Black, Flake8 et pre-commit","A faire","CP1","Qualite","Haute","2026-04-08","2026-04-08","Outils qualite actifs","Preuve des bonnes pratiques de developpement"
"Creer la base PostgreSQL en local","A faire","CP5","Base de donnees","Haute","2026-04-08","2026-04-09","Base locale fonctionnelle","Preuve attendue pour la mise en place d'une base relationnelle"
"Creer les modeles SQLAlchemy","A faire","CP5","Base de donnees","Haute","2026-04-08","2026-04-09","Modeles Manager, Employee, Task, LeaveRequest","Commencer par les entites MVP"
"Construire la connexion securisee et la session","A faire","CP7","Back-end","Haute","2026-04-08","2026-04-09","Authentification fonctionnelle","Utiliser des mots de passe hashes"
"Creer le dashboard manager","A faire","CP4","Back-end","Haute","2026-04-09","2026-04-09","Dashboard relie au back-end","Afficher des donnees utiles apres connexion"
"Developper le CRUD Employe","A faire","CP6","Back-end","Haute","2026-04-09","2026-04-10","Gestion des employes","Creer, lire, modifier et supprimer"
"Developper le CRUD Tache","A faire","CP6","Back-end","Haute","2026-04-09","2026-04-10","Gestion des taches","Version simple mais complete"
"Developper la demande de conges","A faire","CP7","Back-end","Moyenne","2026-04-10","2026-04-11","Page demandes d'absence","Suffisant pour la demo et les diagrammes"
"Ajouter le typage Python sur les fonctions","A faire","CP7","Qualite","Haute","2026-04-08","2026-04-10","Code type","Respect de la consigne du projet"
"Ajouter des commentaires en anglais","A faire","CP7","Qualite","Moyenne","2026-04-08","2026-04-10","Code lisible","Ajouter seulement les commentaires utiles"
"Verifier les noms de variables en snake_case","A faire","CP7","Qualite","Moyenne","2026-04-08","2026-04-10","Convention de nommage respectee","Tout le code doit rester en anglais"
"Ecrire les tests pytest de l'authentification","A faire","CP7","Tests","Haute","2026-04-10","2026-04-11","Tests auth","Tester login, logout et routes protegees"
"Ecrire les tests pytest du CRUD principal","A faire","CP6","Tests","Haute","2026-04-10","2026-04-11","Tests CRUD","Des smoke tests suffisent si le temps est court"
"Corriger la landing page et la relier a Flask","A faire","CP4","Front-end","Moyenne","2026-04-09","2026-04-10","Parcours front/back coherent","Reutiliser le design deja fait"
"Creer la page equipe et organisation projet","A faire","CP4","Front-end","Moyenne","2026-04-10","2026-04-11","Page groupe","Afficher les membres, roles et planning"
"Realiser le zoning dans Figma","A faire","CP2","Conception","Haute","2026-04-08","2026-04-09","Zoning","Faire des captures pour le dossier"
"Realiser les wireframes dans Figma","A faire","CP2","Conception","Haute","2026-04-09","2026-04-10","Wireframes","Inclure accueil, login et dashboard"
"Realiser les mockups dans Figma","A faire","CP2","Conception","Haute","2026-04-10","2026-04-11","Mockups finaux","Reprendre les memes ecrans que les wireframes"
"Creer le diagramme UML","A faire","CP7","Documentation","Haute","2026-04-11","2026-04-12","Diagramme UML","S'appuyer sur les vraies entites de l'application"
"Creer le MCD","A faire","CP5","Documentation","Haute","2026-04-11","2026-04-12","MERISE MCD","Basé sur les besoins metier"
"Creer le LMD","A faire","CP5","Documentation","Haute","2026-04-12","2026-04-12","MERISE LMD","Schema logique des donnees"
"Creer le MPD","A faire","CP5","Documentation","Haute","2026-04-12","2026-04-12","MERISE MPD","Schema physique des donnees"
"Creer le dictionnaire de donnees","A faire","CP5","Documentation","Haute","2026-04-12","2026-04-13","Dictionnaire de donnees","Nom du champ, type, description, contraintes"
"Creer un formulaire Tally","A faire","CP4","Integration","Moyenne","2026-04-11","2026-04-12","Formulaire public","Exemple contact ou demande d'onboarding"
"Connecter une API Hugging Face","A faire","CP7","Integration","Moyenne","2026-04-12","2026-04-13","Preuve IA","Faire une fonctionnalite simple et demoable"
"Connecter un workflow a Make","A faire","CP7","Integration","Moyenne","2026-04-13","2026-04-14","Scenario Make","Un scenario utile suffit"
"Preparer le deploiement Railway","A faire","CP8","Deploiement","Haute","2026-04-13","2026-04-14","Application en ligne","Meme un deploiement simple apporte une vraie preuve"
"Documenter le deploiement local et Railway","A faire","CP8","Deploiement","Haute","2026-04-13","2026-04-14","Procedure de deploiement","Expliquer les etapes locales et cloud"
"Rediger la section securite","A faire","CP7","Securite","Haute","2026-04-13","2026-04-14","Section securite","Mots de passe, sessions, variables d'environnement, controle d'acces"
