Tache,Statut,Competence Bloc 2,Categorie,Priorite,Date de debut,Date d'echeance,Livrable,Notes
"Choisir le nom final du projet","A faire","CP8","Gestion de projet","Haute","2026-04-07","2026-04-07","Nom du projet valide","Le meme nom doit etre utilise dans GitHub, Figma, slides et dossier"
"Lister les membres du groupe","A faire","CP8","Gestion de projet","Haute","2026-04-07","2026-04-07","Liste de l'equipe","Nom, role et responsabilite de chacun"
"Choisir qui fait le front-end","A faire","CP8","Gestion de projet","Haute","2026-04-07","2026-04-07","Repartition des roles","Une personne responsable du suivi front"
"Choisir qui fait le back-end","A faire","CP8","Gestion de projet","Haute","2026-04-07","2026-04-07","Repartition des roles","Une personne responsable du suivi back"
"Choisir qui fait UML et MERISE","A faire","CP8","Gestion de projet","Haute","2026-04-07","2026-04-07","Responsable modelisation","Prevoir une personne qui centralise les diagrammes"
"Choisir qui fait le dossier RNCP","A faire","CP8","Gestion de projet","Haute","2026-04-07","2026-04-07","Responsable dossier","Centraliser le document final"
"Creer le tableau Notion","A faire","CP8","Gestion de projet","Haute","2026-04-07","2026-04-07","Tableau Kanban","Importer le CSV et verifier les colonnes"
"Creer la vue calendrier dans Notion","A faire","CP8","Gestion de projet","Moyenne","2026-04-07","2026-04-07","Vue calendrier","Verifier les dates jusqu'au 17 avril"
"Definir le MVP a presenter","A faire","CP8","Gestion de projet","Haute","2026-04-07","2026-04-07","Liste des fonctions minimales","Se limiter a ce qui est realisable avant la soutenance"
"Creer une branche Git par membre","A faire","CP1","Gestion de projet","Haute","2026-04-07","2026-04-08","Branches creees","Exemple : tiavina/auth, nom-employe/front"
"Verifier que le depot Flask se lance","A faire","CP1","Back-end","Haute","2026-04-07","2026-04-08","Application demarree","Faire un premier test local"
"Verifier que le depot front se lance","A faire","CP1","Front-end","Moyenne","2026-04-07","2026-04-08","Landing page visible","Verifier les liens CSS et JS"
"Nettoyer les fichiers inutiles du projet","A faire","CP1","Back-end","Moyenne","2026-04-07","2026-04-08","Depot propre","Ignorer les fichiers temporaires et caches"
"Completer le fichier .gitignore","A faire","CP1","Qualite","Haute","2026-04-07","2026-04-08",".gitignore a jour","Ajouter instance, venv, cache, base locale"
"Ajouter .env.example","A faire","CP1","Back-end","Haute","2026-04-07","2026-04-08",".env.example","Ajouter SECRET_KEY et DATABASE_URL"
