Tache,Statut,Competence Bloc 2,Categorie,Priorite,Date de debut,Date d'echeance,Livrable,Notes
"Definir le MVP du projet","A faire","CP8","Gestion de projet","Haute","2026-04-07","2026-04-07","Liste des fonctions essentielles","Garder seulement ce qui est faisable avant le 17 avril"
"Repartir les roles dans l'equipe","A faire","CP8","Gestion de projet","Haute","2026-04-07","2026-04-07","Repartition des taches","Definir qui gere front, back, base, docs et slides"
"Creer les branches Git des membres","A faire","CP1","Gestion de projet","Haute","2026-04-07","2026-04-08","Branches creees","Preuve du travail d'equipe"
"Mettre en place le Kanban Notion","A faire","CP8","Gestion de projet","Haute","2026-04-07","2026-04-07","Tableau de suivi","Le mettre a jour chaque jour"
"Nettoyer la structure du projet Flask","A faire","CP1","Back-end","Haute","2026-04-07","2026-04-08","Projet propre","Organiser templates, static, tests et docs"
"Completer le .gitignore","A faire","CP1","Qualite","Moyenne","2026-04-07","2026-04-08",".gitignore a jour","Ignorer instance, venv, caches et fichiers locaux"
"Ajouter .env.example","A faire","CP1","Back-end","Haute","2026-04-07","2026-04-08",".env.example","Ajouter SECRET_KEY et DATABASE_URL"
"Creer requirements-dev.txt","A faire","CP1","Qualite","Haute","2026-04-07","2026-04-08","Dependances dev","Ajouter pytest, black, flake8 et pre-commit"
"Configurer Black et Flake8","A faire","CP1","Qualite","Haute","2026-04-08","2026-04-08","Outils qualite actifs","Verifier qu'ils se lancent"
"Configurer pre-commit","A faire","CP1","Qualite","Moyenne","2026-04-08","2026-04-08","Hook pre-commit","Preuve de bonnes pratiques"
"Installer PostgreSQL en local","A faire","CP5","Base de donnees","Haute","2026-04-08","2026-04-09","PostgreSQL installe","Verifier que le service fonctionne"
"Creer la base de donnees locale","A faire","CP5","Base de donnees","Haute","2026-04-08","2026-04-09","Base creee","Nom simple et clair"
"Connecter Flask a PostgreSQL","A faire","CP5","Base de donnees","Haute","2026-04-08","2026-04-09","Connexion base validee","Tester DATABASE_URL"
"Creer le modele Manager","A faire","CP5","Base de donnees","Haute","2026-04-08","2026-04-09","Table Manager","Necessaire pour la connexion"
"Creer le modele Employee","A faire","CP5","Base de donnees","Haute","2026-04-09","2026-04-09","Table Employee","Nom, poste, email, telephone"
"Creer le modele Task","A faire","CP5","Base de donnees","Haute","2026-04-09","2026-04-10","Table Task","Titre, description, statut"
"Creer le modele LeaveRequest","A faire","CP5","Base de donnees","Moyenne","2026-04-10","2026-04-10","Table LeaveRequest","Dates et statut"
"Creer les relations entre les tables","A faire","CP5","Base de donnees","Haute","2026-04-09","2026-04-10","Relations SQLAlchemy","Relier manager, employes, taches et conges"
"Creer les tables en base","A faire","CP5","Base de donnees","Haute","2026-04-09","2026-04-10","Tables creees","Faire une capture comme preuve"
"Creer la page d'accueil Flask","A faire","CP4","Front-end","Moyenne","2026-04-09","2026-04-09","Page accueil","Presenter rapidement le projet"
"Creer la page de connexion","A faire","CP4","Back-end","Haute","2026-04-09","2026-04-09","Page login","Formulaire relie au back"
"Ajouter le hashage du mot de passe","A faire","CP7","Securite","Haute","2026-04-09","2026-04-09","Mot de passe securise","Utiliser Bcrypt"
"Creer la route de connexion","A faire","CP7","Back-end","Haute","2026-04-09","2026-04-09","Login fonctionnel","Verifier email et mot de passe"
"Ajouter la gestion de session","A faire","CP7","Back-end","Haute","2026-04-09","2026-04-09","Session active","Stocker l'identifiant du manager"
"Creer le dashboard protege","A faire","CP4","Back-end","Haute","2026-04-09","2026-04-10","Dashboard fonctionnel","Accessible seulement si connecte"
"Creer la route deconnexion","A faire","CP7","Back-end","Moyenne","2026-04-09","2026-04-10","Logout","Vider la session"
"Ajouter une protection CSRF simple","A faire","CP7","Securite","Moyenne","2026-04-10","2026-04-10","Formulaire protege","Bonne pratique a presenter"
"Creer la liste des employes","A faire","CP6","Back-end","Haute","2026-04-10","2026-04-10","Page employes","Afficher les donnees depuis la base"
